id,Statement,Image,Web,Category,Date,Label
33,"Another Lockdown? Puja festivities in Delhi to take a blow, govt disallows fairs and processions",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/11/930738-arvind-kejriwal.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
34,"Bihar Assembly Election 2020: BJP releases list of 30-star campaigners, PM Modi and JP Nadda top in list",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/11/930733-bjp-star-campaigners.jpg,DNAINDIA,ELECTION,Oct-20,TRUE
35,Andhra govt complains to CJI against alleged intervention by sitting SC judge,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/11/930723-jagan-mohan-reddy-new.jpg,DNAINDIA,TERROR,Oct-20,TRUE
36,"J&K: Pakistan violates ceasefire in Poonch, Indian Army replies befittingly",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/11/930720-violative-ceasefire-new.jpg,DNAINDIA,COVID-19,Oct-20,TRUE
37,Indian Railways upgradation plan: AC coaches to replace general and sleeper coaches in high-speed trains,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/11/930721-railways.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
38,"As COVID-19 cases surge among teachers, 3-week holiday for Karnataka schools from October 12-30",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/11/930717-schools-new.jpg,DNAINDIA,COVID-19,Oct-20,TRUE
39,"Amazon Great Indian Festival sale to last till Diwali, heavy discounts of upto 70 percent on offer",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/11/930706-amazon.jpg,DNAINDIA,POLITICS,Oct-20,TRUE
40,"Jharkhand: JMM leader Shankar Rawani, wife found murdered at residence in Dhanbad  ",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/11/930685-murders-new.jpg,DNAINDIA,ELECTION,Oct-20,TRUE
41,BJP releases list of candidates for by-elections in 5 states,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/11/930677-bjp-meeting.jpg,DNAINDIA,ELECTION,Oct-20,TRUE
42,'No God says to celebrate a festival ostentatiously' : Harsh Vardhan warns against large congregations amidst pandemic,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/11/930667-harsh-vardhan-new.jpg,DNAINDIA,POLITICS,Oct-20,TRUE
43,Congress woman leader beaten up by party workers for questioning decision to field 'rapist',https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/11/930666-29o916j8congress-workers-beaten-female-leader-in-deoria625x30011october20.jpg,DNAINDIA,ELECTION,Oct-20,TRUE
44,SWAMITVA scheme: PM Modi launches physical distribution of property cards; 6 things to know,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/11/930642-786488-narendra-modi-02-dna.jpg,DNAINDIA,TERROR,Oct-20,TRUE
45,CBI registers FIR against accused in Hathras gang-rape case; takes over investigation,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/11/930639-ejvalwjuyaeim9a.jpg,DNAINDIA,VIOLENCE,Oct-20,TRUE
46,'Police must adhere to norms': Centre issues fresh advisory to States on women safety amid Hathras outrage,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/11/930615-884967-rape-cases.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
47,"In an attempt to check rising price of pulses, Centre to offer ÔuradÕ, ÔturÕ at subsidised rates  ",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/11/930597-urad-tur-new.jpg,DNAINDIA,TERROR,Oct-20,TRUE
48,SVAMITVA scheme: PM Modi to launch physical distribution of property cards on Oct 11,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/11/930606-narendra-modi-1.jpg,DNAINDIA,TERROR,Oct-20,TRUE
49,Assam: Kamakhya temple to open for devotees from today,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/11/930603-kamakhya-new.jpg,DNAINDIA,TERROR,Oct-20,TRUE
50,"Hathras gang-rape case transferred to CBI, FIR to be filed soon ",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/10/930592-cbi.jpg,DNAINDIA,VIOLENCE,Oct-20,TRUE
51,Assam to close-down all state-run madrassas from November: Himanta Biswa Sarma,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/10/930589-madrassas-new.jpg,DNAINDIA,POLITICS,Oct-20,TRUE
52,"Unlock 5.0: Schools in Uttar Pradesh to reopen from October 19, read rules and regulations here",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/10/930575-school-students.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
53,Bihar Assembly Election 2020: Congress releases list of 30-star campaigners ,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/10/930535-sonia-rahul-gandhi.jpg,DNAINDIA,ELECTION,Oct-20,TRUE
54,Last rites of Ram Vilas Paswan performed in Patna with full state honours,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/10/930534-last-rites-new.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
55,"DU Admission 2020: Delhi University releases first cut-off list, check @du.ac.in",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/10/930528-delhu-universe.jpg,DNAINDIA,TERROR,Oct-20,TRUE
56,"Renewal of International driving licence to become easier, Centre mulls changes in Motor Vehicles rules 1989",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/10/930519-driving-licence-1.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
57,Nitish Kumar humiliated my father: Chirag Paswan in open letter to JP Nadda,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/10/930505-891789-paswan-chirag-ram-vilas.jpg,DNAINDIA,ELECTION,Oct-20,TRUE
58,"Book, cancel train tickets 5 minutes before departure; new rule comes into effect October 10",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/10/930503-india-railways.jpg,DNAINDIA,TERROR,Oct-20,TRUE
59,EC issues revised guidelines for upcoming polls; limits number of star campaigners,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/10/930433-download.jpg,DNAINDIA,ELECTION,Oct-20,TRUE
60,Goa becomes first 'Har Ghar Jal' state by providing tap water connections in rural areas,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/10/930424-drinking-water.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
61,Last rites of Ram Vilas Paswan to take place in Patna today with full state honours,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/10/930395-ram-vilas-paswan-death.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
62,"Odisha: By-polls for Balasore, Tirtol constituencies to be held on Nov 3; results on Nov 10",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/10/930392-916340-bypolls-newestest.jpg,DNAINDIA,TERROR,Oct-20,TRUE
63,"DNA Special: How adulterated vegetables are affecting our health, well-being",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/10/930376-925814-pexels-pixabay-264537.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
64,Woman dies in freak accident in Hyderabad after hair gets stuck in go-kart wheel,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/09/930344-651732-go-karts.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
65,"Rajasthan: BJP slams state govt for priest's brutal killing, Karauli-Dholpur MP Manoj Rajoria to meet kin tomorrow",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/09/930340-rajasthan-priest-1.jpg,DNAINDIA,ELECTION,Oct-20,TRUE
66,More trouble for Arnab Goswami as Mumbai Crime Branch summons top Republic TV official,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/09/930313-arnab-1.jpg,DNAINDIA,VIOLENCE,Oct-20,TRUE
67,"Shiv Sena leader Sanjay Raut lauds Mumbai Police's 'courageous step' of busting Rs 30,000 crore TRP scam",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/09/930295-sanjay-raut.jpg,DNAINDIA,ELECTION,Oct-20,TRUE
68,"West Bengal: Man arrested with firearm in BJP rally, controversy erupts over his turban being pulled out",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/09/930296-kolkata-firearms.jpg,DNAINDIA,ELECTION,Oct-20,TRUE
69,"Rajasthan temple priest set on fire in Karauli over land dispute, accused arrested",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/09/930278-rajasthan-priest-1.jpg,DNAINDIA,TERROR,Oct-20,TRUE
70,Kerala: Padmanabhaswamy Temple closed for darshan till Oct 15 after 10 priests test COVID-19 positive,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/09/930255-551677-padmanabhaswamy-temple.jpg,DNAINDIA,COVID-19,Oct-20,TRUE
71,PM Modi to launch physical distribution of property cards under SVAMITVA Scheme on October 11,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/09/930241-modi11.jpg,DNAINDIA,TERROR,Oct-20,TRUE
72,"Piyush Goyal gets additional charge of Ministry of Consumer Affairs, Food and Public Distribution",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/09/930237-piyush-goyal.jpg,DNAINDIA,POLITICS,Oct-20,TRUE
73,"President, PM Modi, others pay last respects to former minister Ram Vilas Paswan",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/09/930179-kovind.jpg,DNAINDIA,POLITICS,Oct-20,TRUE
74,"India reports 70,496 new cases, 964 deaths; tally breaches 69 lakh-mark",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/09/930176-covid.jpg,DNAINDIA,COVID-19,Oct-20,TRUE
75,"To curb air pollution, action plan to be implemented from October 15 in Delhi-NCR",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/09/930155-pollution-in-the-air.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
76,"COVID-19 cases in Delhi may surge to 15,000 per day in winters: Report",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/09/930152-covid-19-delhi.jpg,DNAINDIA,COVID-19,Oct-20,TRUE
77,DNA Special: TRP racket is big bad blot on journalism,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/09/930147-trp-new.jpg,DNAINDIA,VIOLENCE,Oct-20,TRUE
78,National flag to fly at half mast on Friday as mark of respect to Ram Vilas Paswan,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/09/930148-ram-vilas-paswan-1.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
79,Union Minister Ram Vilas Paswan dies days after heart surgery,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/08/930120-868094-paswan-pti.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
80,"Reforms in education, labour, agriculture impact almost every Indian: PM Modi",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/08/930116-pm-modi-new-new.jpg,DNAINDIA,POLITICS,Oct-20,TRUE
81,"Nabanno Chalo: BJP slams Bengal police for using 'chemical-filled' water cannons, Mamata govt refutes charges",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/08/930105-bengal-bjp-1.jpg,DNAINDIA,ELECTION,Oct-20,TRUE
82,"Bengal BJP workers clash with police during 'Nabanna Chalo' protest march, crowd dispersed with lathi-charge",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/08/930075-bjp-kolkata-protest-lathicharge.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
83,"Mumbai Police exposes racket to manipulate TRPs, two arrested; Republic TV on its radar",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/08/930079-trp-racket.jpg,DNAINDIA,VIOLENCE,Oct-20,TRUE
84,"New Delhi-Lucknow Tejas Express to operate from October 17: Know train journey guidelines, book your ticket on IRCTC ",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/08/930042-tejas-express-lucknow-to-delhi.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
85,Hathras victim deserves justice not slander: Priyanka Gandhi,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/08/930022-priyanka-gandhi.jpg,DNAINDIA,ELECTION,Oct-20,TRUE
86,Indian Air Force Day 2020: Virat Kohli pays tribute to nationÕs heroes,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/08/930019-kohli-air-force.jpg,DNAINDIA,POLITICS,Oct-20,TRUE
87,IAF displays prowess on 88th Air Force Day; COAS says ready to safeguard India in all circumstances,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/08/930005-iaf.jpg,DNAINDIA,ELECTION,Oct-20,TRUE
88,"Noida's Jewar International Airport will open floodgates of development in western Uttar Pradesh, here's how",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/08/929977-jewar-international-airport.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
89,Revised Unlock 5.0 guidelines: Home ministry issues fresh SOPs for political gatherings in election states,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/08/929990-unlock-5.0-guideline-for-bihar-assembly-election.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
90,"India takes strong punch at Pakistan, calls for strong action against terrorism supporters",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/08/929992-un.jpg,DNAINDIA,POLITICS,Oct-20,TRUE
91,"Amid COVID-19 crisis, Maharashtra becomes first state to regulate prices of masks",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/08/929943-masks.jpg,DNAINDIA,COVID-19,Oct-20,TRUE
92,US Election 2020: Kamala-Pence debate opens with clash over Trump administration's COVID-19 response,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/08/929935-pence-harris.jpg,DNAINDIA,POLITICS,Oct-20,TRUE
93,DNA Special: Detailed analysis of Rahul Gandhi's claim of throwing Chinese Army out in 15 minutes,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/08/929914-924148-922161-india-china.jpg,DNAINDIA,TERROR,Oct-20,TRUE
94,"Mother, baby die during quack-assisted delivery in Noida, bodies dumped",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/08/929924-healthcare.jpg,DNAINDIA,VIOLENCE,Oct-20,TRUE
95,Taiwan tells China to 'get lost' after Chinese mission asks Indian media to follow 'one China' policy  ,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929913-taiwan-and-china.jpg,DNAINDIA,TERROR,Oct-20,TRUE
96,All you need to know about high-security registration plate and colour-coded stickers,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/08/929912-vehicles.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
97,"Former CBI director Ashwani Kumar found hanging in Shimla home, say cops",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929905-ashwani-kumar-new.jpg,DNAINDIA,VIOLENCE,Oct-20,TRUE
98,Zee News Editor-in-Chief Sudhir Chaudhary gets call from Pakistan again,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929896-sudhir-chaudhary.jpg,DNAINDIA,COVID-19,Oct-20,TRUE
99,"Atal tunnel: After 3 accidents in 72 hours, new rules come into effect",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929892-atal-tunnel.jpg,DNAINDIA,POLITICS,Oct-20,TRUE
100,"Railway Ministry's private player train project receives 120 applications for 12 clusters, check full details",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929886-railways-new.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
101,India believes indigenous defence capabilities are foundations to peace: Rajnath Singh,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929877-rajnath-singh-new.jpg,DNAINDIA,COVID-19,Oct-20,TRUE
102,Navratri 2020: UP CM Yogi Adityanath takes this big decision for women safety,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929874-871920-adityanathyogi-pti-021018.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
103,"Income Tax raids in Patna, Sasaram and Varanasi; Rs 1.25 crore seized ",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929871-income-tax-department-building.jpg,DNAINDIA,COVID-19,Oct-20,TRUE
104,BRO builds India's longest steel bridge on Manali-Leh highway,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929840-longest-bridge-in-india-manali-leh-highway-bhaga-river.jpg,DNAINDIA,TERROR,Oct-20,TRUE
105,"Cabinet approves to complete Kolkata East-West Metro Corridor Project by 2021 for Rs 8,575 crores",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929862-kolkata-metro-new.jpg,DNAINDIA,POLITICS,Oct-20,TRUE
106,"Amid border tensions with China, Indian defence forces considering 'Made in India' carbine",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929854-923707-912486-india-china-faceoff-new.jpg,DNAINDIA,TERROR,Oct-20,TRUE
107,"RBSE class 10 supplementary exams: Results declared, check @rajeduboard.rajasthan.gov.in.",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929848-results-new.jpg,DNAINDIA,TERROR,Oct-20,TRUE
108,Centre decides to launch COVID-19 awareness campaign from today,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929836-coronavirus-new.jpg,DNAINDIA,COVID-19,Oct-20,TRUE
109,Bihar Assembly Election 2020: Know caste calculus of ticket distribution by BJP-RJD-Congress ,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929830-lalu-prasad-yadav.jpg,DNAINDIA,ELECTION,Oct-20,TRUE
110,"Work on Jewar International Airport to start soon, key pact signed",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929825-jewar-airport-agreement.jpg,DNAINDIA,TERROR,Oct-20,TRUE
111,PM Modi wishes Russian President Vladimir Putin on 68th birthday,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929814-925827-modi-putin-mea.jpg,DNAINDIA,POLITICS,Oct-20,TRUE
112,"India, Japan finalise cybersecurity agreement on 5G, AI cooperation",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929805-india-japan.jpg,DNAINDIA,COVID-19,Oct-20,TRUE
113,"Unlock 5.0 school reopening guidelines explained: Know when, how schools will open",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929764-unlock-5.0-school-reopening-guidelines-explained.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
114,Kashmir: Security forces eliminate four terrorists in 16 hours,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929789-indian-army-file-pti.jpg,DNAINDIA,TERROR,Oct-20,TRUE
115,Rajasthan: Minor girl gang-raped in Barmer; case registered,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929765-rape.jpg,DNAINDIA,VIOLENCE,Oct-20,TRUE
116,Milestone: PM Modi enters 20th year in public office without break,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929735-modi1.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
117,AIADMK announces E Palaniswami as CM candidate for 2021 TN polls; gets 11-member steering committee,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929734-663154-e-palaniswami.jpg,DNAINDIA,ELECTION,Oct-20,TRUE
118,Bihar Assembly Election 2020: List of Congress candidates likely to be fielded for 20 seats,https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929726-rahul-gandhi.jpg,DNAINDIA,ELECTION,Oct-20,TRUE
119,"Bombay HC grants bail to Rhea Chakraborty, rejects brother Showik's plea",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929725-rhea.jpg,DNAINDIA,VIOLENCE,Oct-20,TRUE
120,"Amid COVID-19, 85.17% voter turnout recorded in third phase of Rajasthan Panchayat elections",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929719-rajasthan.jpg,DNAINDIA,COVID-19,Oct-20,TRUE
121,"Hathras case: On Yogi's orders, SIT gets 10-day extension to submit report",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929714-yogi.jpg,DNAINDIA,VIOLENCE,Oct-20,TRUE
122,"Jobs for women in AP: 5,905 Anganwadi posts to be filled soon",https://cdn.dnaindia.com/sites/default/files/styles/third/public/2020/10/07/929695-anganwadi.jpg,DNAINDIA,GOVERNMENT,Oct-20,TRUE
123,"Data: Between 2000 & 2020, Asian American voters grew by 139%, more than any other group",https://factly.in/wp-content/uploads//2020/08/Asian-American-voters_Featured-Image-702x336.jpg,FACTLY,POLITICS,Aug-20,TRUE
124,Data: The analysis of Electoral Bonds sold in January 2020,https://factly.in/wp-content/uploads//2020/02/Electoral-Trusts_Featured-Image-702x336.jpg,FACTLY,VIOLENCE,Feb-20,TRUE
125,Polls to 55 Rajya Sabha Seats: NDA may lose 4 to 5 seats while UPA may gain 3 seats,https://factly.in/wp-content/uploads//2020/03/Rajya-Sabha-Seats_Featured-Image-702x336.jpg,FACTLY,ELECTION,Mar-20,TRUE
