Statement,Label
amid border tensions with china indian defence forces considering made in india carbine,1
rbse class supplementary exams results declared check rajeduboard rajasthan gov in,1
centre decides to launch covid awareness campaign from today,1
bihar assembly election know caste calculus of ticket distribution by bjp rjd congress,1
work on jewar international airport to start soon key pact signed,1
pm modi wishes russian president vladimir putin on th birthday,1
india japan finalise cybersecurity agreement on g ai cooperation,1
unlock school reopening guidelines explained know when how schools will open,1
kashmir security forces eliminate four terrorists in hours,1
rajasthan minor girl gang raped in barmer case registered,1
milestone pm modi enters th year in public office without break,1
aiadmk announces e palaniswami as cm candidate for tn polls gets member steering committee,1
bihar assembly election list of congress candidates likely to be fielded for seats,1
bombay hc grants bail to rhea chakraborty rejects brother showik s plea,1
amid covid voter turnout recorded in third phase of rajasthan panchayat elections,1
hathras case on yogi s orders sit gets day extension to submit report,1
jobs for women in ap anganwadi posts to be filled soon,1
both the bjp congress submit details of electoral bond donors after the supreme court s due date,1
amidst the debate around one nation one election here is a look at other electoral reform proposals,1
even in greater vote share for nota in reserved constituencies,1
data doesn t indicate any correlation between use of evms anti incumbency,1
tracking bjp s manifesto promises health services,1
more than of the income of national parties in from unknown sources,1
the diminishing role of independent candidates in lok sabha elections,1
what is the expenditure incurred for conducting lok sabha elections,1
video when do political parties get recognized as state or national party,1
what do alphabets e s q r m on the electoral roll indicate,1
are voters preferring nota part,1
a detailed review of newly launched rti online portal of election commission of india,1
source of income in election affidavit what did some of the prominent candidates in karnataka mention,1
scuttling transparency election commission does not respond to rti online applications,1
a dummy s guide to the vice president s election,1
a dummy s guide to the president of india s election,1
who is in power,1
did nota make an impact in the five states,1
these seats may well decide the fate of tamil nadu elections,1
the curious case of sambhaji lakshman patil how the law is helping him hold two positions that of a mla a councilor,1
here is how the members of the legislative council vidhan parishad in states are elected,1
nota count more than the margin of victory in constituencies of bihar,1
statistical highlights of the bihar assembly elections part,1
the election commission suspends voter id aadhaar seeding following the supreme court order,1
linking your voter id with aadhaar is not mandatory your name will not be deleted from the voter list,1
the financial reporting of our political parties is as good as nothing,1
number of political parties in india growing faster than the economy,1
aap s thumping victory in numbers analysis of delhi assembly elections results,1
protests against farm laws day after he asked farmers to burn pm s effigy chaduni booked for promoting enmity,1
himachal to resume interstate bus service from today,1
railways to operate festival special trains from october to november,1
as soyabean price inches closer to msp farmers follow wait watch policy to offload their product,1
show cause notices for closure issued to flipkart patanjali over pwm rules cpcb tells ngt,1
three dalit sisters all minors attacked with acid in uttar pradesh,1
aarogya setu app helped identify covid clusters who,1
congress leader files counter complaint against woman party worker over deoria meeting ruckus,1
rajya sabha polls to fill vacancies on november,1
disturbed areas act amendment in gujarat gets presidential assent pradeepsinh jadeja,1
days after giving birth ghaziabad s officer for covid returns to office with newborn in tow,1
j k cops three school teachers held under psa,1
gujarat bjp candidate jitu chaudhary files nomination,1
hathras case up govt being unethical not doing its job say congress leaders rahul priyanka gandhi,1
bollywood producers move court name two news channels making irresponsible defamatory remarks,1
hathras victim s family appear before hc next hearing on november,1
jammu time congress mla mohammad sharief niaz passes away,1
pm modi to address people of bengal on durga puja kailash vijayvargiya,1
after aiadmk dmk blows tamil nadu poll bugle announces manifesto panel,1
arrested on way to hathras driver among booked for sedition family says he did not know the others,1
property cards launched will end disputes says pm modi,1
five congress turncoats in bjp s list for assembly bypolls in gujarat,1
active covid cases over k in bengal as recovery rate takes a hit,1
coronavirus india highlights himachal pradesh cm jairam thakur tests positive,1
odisha day after birthday bash bjp mp s office sealed,1
aiib world bank funded project to invest bn in india s covid fight,1
delhi dalit rights body stages protest demands strict action against hathras accused,1
muslims most happy in india bhagwat,1
tenders invited to construct ropeway to connect banks of narmada river at kevadia,1
finally mills get maharashtra govt guarantee but owners say measure may have come too late,1
social activists write to cm against efforts to lift prohibition in gadchiroli,1
phoolka posts on paswan s efforts to give refuge to sikh man during riots,1
paswan s body flown to patna cremation today,1
cabinet says paswan voice of the oppressed,1
years later four up cops among booked for framing man in drug case,1
banda man kills wife carries her head to police station,1
bjp leader shot dead in up s azamgarh,1
yoga enthusiast from us raped in rishikesh,1
coronavirus highlights with recoveries india s recovery rate rises to,1
vadodara man booked for rape after talk on good touch bad touch leads police to him,1
gujarat on alert for vessel with toxic material heading to alang,1
ezhava community group slams kerala govt over v c appointment,1
maharashtra has adequate remdesivir stock shortage as patients want cheapest drug say fda officials,1
hal assistant supervisor held for sharing fighter aircraft details with isi,1
himachal born in captivity six western tragopans released into the wild,1
nhrc issues advisory on protection of women s rights lists sex workers under women at work section,1
gujarat covid cases per day drop,1
govt to modify salary structure of contractual workers under nhm,1
covid vaccine candidates dr reddy s bharat biotech bio e told to revise proposals for human trials,1
two kerala mps write to pm modi over journalist booked under uapa,1
rld holds mahapanchayat in muzaffarnagar,1
unable to cope with wife s death man kills minor children hangs himself,1
agriculture dept urges soyabean farmers to reuse produce as seeds for next season,1
miss you papa chirag shares childhood pic with ram vilas paswan as he announces father s demise,1
there is a free media in india mea on chinese embassy s taiwan guidelines to journalists,1
a firebrand socialist voice of oppressed leaders pay tribute to ram vilas paswan,1
chhattisgarh police exhume girl s body months after her gangrape,1
india unsc should not be misused with retaliatory intent to name innocent civilians as terrorists,1
at rail roko in amritsar farmers rue wagah trade falling off govt policy charts,1
centre appoints chief commissioner for gurdwara polls sets ball rolling,1
yogendra yadav punjab took badals wicket haryana s turn to bowl chautalas out,1
ex cbi chief ashwani kumar found dead in shimla home,1
as stubble burning season begins sharp spike in farm fires,1
yrs after ias officer s death cong springs a surprise fields wife in karnataka bypoll,1
bihar elections rjd first list names candidates,1
election commission reduces number of star campaigners for bihar polls,1
haryana to set up mining minister flying squad,1
shaheen bagh protest sc order cites mediator report many influencers,1
kerala gold smuggling case accused appointed with knowledge of cm ed chargesheet,1
in search of a better life sex workers in amalner hone their entrepreneurial skills,1
increasing use of nitrogen fertilisers in global food production jeopardising climate goals study,1
sirsa emerges epicentre of farmers protest in haryana stand off between police protesters continues,1
inter state bus service may resume soon lockdown eats up of expected revenue of hp road transport corp,1
indian mom survives covid delivers baby in uae,1
punjab school education department announces dates for talent search examination,1
rhea chakraborty gets bail in drugs case released from byculla jail after nearly a month,1
farmers to consider capt amarinder singh s appeal for easing rail roko,1
in haryana rahul says upa will scrap farm laws throw china out if voted back,1
up mother baby die during quack assisted delivery bodies dumped outside clinic,1
edappadi palaniswami is aiadmk s chief ministerial candidate for election,1
telangana agrees to withdraw case filed in sc related to sharing of krishna godavari water,1
ex mos dilip ray others convicted in coal blocks allocation scam,1
probe ordered after mlas who tested positive attend funeral,1
covid management protocol on ayurveda yoga out,1
cm pinarayi vijayan says kerala figures better than national average on many counts,1
mamata banerjee announces jobs for maoist victims families in jangalmahal,1
jaishankar at quad meet india committed to respecting territorial integrity,1
punjab minister balbir sidhu tests covid positive had shared stage with rahul gandhi,1
give me free press other institutions and this govt won t last long rahul gandhi,1
extraordinary and shocking sc seeks up response on witness protection in hathras case,1
world watching be extra careful cec to bihar poll observers,1
rahul rally won t be stopped but large crowds won t be tolerated manohar lal khattar,1
sc issues notice on plea by mp over basmati gi tag,1
over lakh street vendors line up for pm loan scheme despite red tape,1
hathras case investigation on not proper on my part to comment says irani,1
bjp mp s aide shot victim s father points finger at ruling tmc demands cbi investigation,1
man donates plasma six times highest in haryana,1
ahead of festive season govt plans awareness campaign to contain covid,1
rahul gandhi man of foreign mentality should learn nationalism from nationalists bjp mla,1
in fresh fir hathras police claims international plot to defame yogi govt,1
kerala lottery today results announced first prize is worth rs lakh,1
karnataka to develop new cybersecurity policy to strengthen digitisation,1
in no scenario can china get the better of us iaf chief bhadauria,1
seeking justice for hathras victim over safai karamcharis on strike in agra,1
unnao gangrape murder victim s nephew missing police file abduction case three cops suspended,1
sengar seat bypoll congress raises pitch over hathras,1
will seek nod for fast track court officials meet balrampur victim s family,1
only districts in country with severe or extreme dry conditions report by imd,1
hathras case bhim army chief sp rld meet victim s family accused defended at bjp leader s house meet,1
punjab police busts khalistan zindabad force terror module arrests,1
mukesh sahni led vip to contest all seats in bihar,1
reprehensible editors guild on up govt preventing media from visiting hathras village,1
with spike in covid cases kerala issues prohibitory orders,1
day after testing covid negative jharkhand minister dies of cardiac arrest,1
up s new information dept chief was crisis manager to two former cms,1
vhp meet in november to discuss campaign for ram temple donations,1
for rahul s tractor rallies punjab cites farmers stir to bypass unlock norm,1
bihar elections chirag paswan hails modi seeks support for bihar first agenda,1
veteran activist scholar pushpa bhave passes away,1
discriminatory rjd s manoj jha moves sc over new farm laws,1
oppn also thought of improving farm laws but lacked courage pm modi,1
maharashtra govt issues guidelines for restaurants which are set to reopen,1
himachal ka chhokra pm s affectionate reference to anurag thakur,1
bihar polls tejashwi announces grand alliance s seat sharing deal congress to contest from seats,1
previous govts lacked courage to effect farm reforms due to poll focussed mindset pm modi,1
meerut yr old raped by teen neighbour,1
mango special to banana special kisan rail gets on track,1
bhadohi police rules out rape say year old dalit girl was strangled,1
in ncb shadow karan johar says inspired by pm modi for i day project,1
hathras rape case under fire up govt suspends sp orders narco test of accused victim families,1
hathras rape case fsl got victim s samples days after crime,1
maharashtra from domestic violence cases in a year before covid tally dips to in last months,1
gujarat groundnut production estimated to be higher this kharif season,1
former trai chairman r s sharma can t differentiate between digital non digital need converged regulator,1
hathras gangrape those who think of harming women s self respect will be destroyed says yogi,1
now tmc mps barred from entering hathras roughed up by up police,1
farmers protests on path shown by mahatma gandhi will be successful sonia gandhi,1
nia files chargesheet in murder of chhattisgarh mla mandavi,1
ncrb report sedition cases up in but conviction at all time low,1
quad meet to focus on global order after covid,1
babri demolition verdict accused not named in depositions top officials say could not hear speeches cite noise and dust,1
balrampur victim had injuries on body postmortem report,1
affront to right to life sc junks gujarat orders on wages longer hours of work,1
bihar elections chirag paswan meets amit shah nda seat formula almost final,1
record high of crore households availed of nrega since april,1
bihar elections after loyalty warning from lalu prasad rjd not ready to give congress more than seats,1
prashant bhushan moves sc seeks review of its re punishment,1
haryana to oppose farm laws inld to protest in districts on october,1
haryana says changes made in procurement process for ease of farmers millers,1
as covid cases rise kerala bans gathering of more than people,1
anti tank guided missile successfully test fired again by drdo,1
senior up cop claims hathras woman was not raped cites forensic report,1
congress rajya sabha mp ahmed patel tests positive for coronavirus,1
minor girl gangraped by men in madhya pradesh hunt on for culprits,1
largest contact tracing study in india shows covid transmitted mainly by superspreaders,1
meticulously planned uma bharti took onus justice liberhan on babri masjid demolition,1
far from justice muslim law board asks cbi to appeal babri demolition case order,1
kaprada seat prakash patel throws his hat in the bypoll ring as independent,1
babri masjid demolition advani joshi and uma among all cleared court says no evidence,1
rs cr multiple clearances required to save ins viraat,1
odisha passes bill for stricter penalty for covid rules violation,1
bihar elections won t succumb to anyone s attempt to finish party says chirag paswan,1
in bihar alliances try to outdo each other for larger share of dalit votes,1
babri masjid case congress must apologise for its conspiracy now says yogi adityanath,1
babri masjid case verdict special judge presided over trial since got extensions,1
covid situation in latur district under control cfr has come down to pc,1
nhrc advisory no patient should be denied emergency medical care for covid and non covid conditions,1
soybean cotton procurement centres to start registering farmers from today,1
tmc mp nusrat jahan gets death threats for posing as goddess durga seeks security for uk trip,1
unlock guidelines cinema halls can open states to decide on schools from october,1
bihar creating jobs through agricultural policies narendra singh tomar,1
snc lavalin graft case top court to hear cbi appeal against pinarayi vijayan s discharge,1
to mosul and back kerala isis man s extraordinary brush with terror,1
new laws like a stab in farmers hearts rahul gandhi,1
astrosat completes years of successful mission has more scientific discoveries in store,1
babri order today in the dock are advani joshi bharti,1
hathras gangrape my daughter said she wanted to come home she was conscious again i thought she would survive,1
hardening stance china rejects ladakh ut raises claim line,1
j k power corporation s lax supervision behind hydel project delay cag,1
just exposed to covid till august new sero survey,1
maharashtra palghar district on alert over congo fever,1
iaf fully resolved to counter any misadventure in eastern ladakh air chief marshal rks bhadauria,1
farmers protest live updates rail roko agitation enters sixth day,1
ayodhya trust plans to build temple pillars by next march finish first floor by,1
three killed after under construction building collapses in vadodara,1
need for more clarity on ruling in land acquisition matter supreme court,1
ins viraat reaches final port set for dismantling,1
deepika padukone was questioned about some words in chats,1
dac nod to buy us sig sauer rifles for rs crore,1
bangla hitmen held for plot to kill tmc leader police,1
govt doctors from yavatmal protest ill treatment present list of demands to district collector,1
will join farmers protest outside dushyant chautala s house yogendra yadav,1
covid deaths reported in punjab,1
sushant singh rajput death case cbi says no aspect ruled out amid questions over pace of probe,1
jharkhand truck carrying liquor bottles hidden in sand overturns villagers feast,1
maharashtra s chief secretary goes into home isolation after testing positive for covid,1
kerala denied timely treatment covid recovered pregnant woman loses twin babies govt orders probe,1
rhea ki aukaat to waiver from govt how bihar dgp gupteshwar pandey stoops to conquer,1
every sector could decide cost buyer farmers couldn t new laws will give freedom to trade narendra singh tomar,1
punjab three bjp leaders resign after prez signs farms bills,1
police summon ex dgp saini to join probe in balwant multani case,1
mohali two minor boys arrested gangraping year old girl,1
bhopal two railway employees held for gangrape on station premises,1
terrorists in j k hide in bunkers under toilet seasonal streams to evade security forces,1
serum institute ceo on pm modi s covid vaccine vision your arrangements will take care of all needs for indians,1
statue of periyar found smeared with saffron dye,1
farmers playing major role in building aatmanirbhar bharat says pm modi,1
lac as hopes recede army readies troops for winter deployment,1
the respect isher commanded in the economics world was striking,1
surat two more held in rs cr banned drug seizure case,1
gujarat ats arrests man accused of printing counterfeit currency,1
cag report utilisation certificates worth rs crore not submitted by gujarat government,1
no strong push for public schooling in india says amartya sen on nep,1
woman drugged raped on bus in meerut cops,1
up fourth accused held in hathras gangrape case,1
mathura civil suit seeks removal of mosque from krishna birthplace,1
notice to uttarakhand mla over tarnishing govt s image,1
kerala lottery today results announced first prize is worth rs lakh,1
spiritual guru of vedic ashram dies mortal remains flown to india for last rites,1
lesbian couple in up seeks police protection after family threats,1
suit in mathura court seeks ownership of krishna janmabhoomi land removal of idgah masjid,1
aligarh bjp leaders stage protest after woman files harassment complaint,1
adityanath rs lakh aid for kin of mediapersons who died of covid,1
china pakistan in mind pm to spell out india priorities at unga today,1
college students school dropout women lead farm protests in punjab,1
online nominations and masks phase voting in bihar s covid election,1
top court to examine if case against anchor amish devgan needs investigation,1
s p balasubrahmanyam sang for generations of heroes will be remembered for generations,1
co operative sector leader s suicide in surat suspended cop arrested from highway in maharashtra,1
j k police announce sit to probe killing of advocate babar qadri in srinagar,1
j k two let militants killed in gunfight at anantnag villagers injured in blast at site,1
one sub inspector injured vadodara police arrests for attacking cops,1
at the helm of protests in punjab a farmer s daughter a security guard s daughter a class ix dropout,1
covid positive pregnant women asymptomatic study,1
surat ksg members detained over farm bill protest,1
farmers stage protests across country against new farm bills stir set to intensify,1
subsidy eating into resources punjab may run agri tube wells on solar power,1
suspended for oxygen supply issues at jammu hospital,1
want justice and only justice son of killed bdc chairman in budgam,1
aatmanirbhar scheme gujarat govt expresses inability to give details says it will affect covid fight,1
blasts trigger fire at ongc plant in surat,1
crime against women up cm asks officials to put up name and shame posters,1
tamil nadu cm palaniswami seeks more funds to fight pandemic,1
nuclear scientist sekhar basu succumbs to covid,1
maharashtra govt caps rates for hrct test,1
kerala adds covid cases in two days cm says situation grave,1
were slow in reaching out to farmers village level meeting from oct bjp kisan morcha,1
featured on time s list bilkis says would have been happier if demand was met,1
ready to lead fight against farm bills says capt amarinder singh,1
farmers begin day rail roko in punjab train services take a hit,1
boost for haryana s agitating farmers get support from bjp leaders all former mlas,1
telangana police on alert as maoists attempt to reestablish base,1
sasikala writes to bengaluru prison officials requests not to reveal details of her release,1
kerala state lottery today results announced first prize is worth rs lakh,1
journalist pradeep bhandari assaulted in mumbai,1
ncb should probe if kangana had said she took drugs bjp leader,1
gujarat manavadar to get a riverfront,1
man detained for confining and raping employee,1
gujarat horticulture officer caught taking bribe of rs,1
vadodara mp opposes making of building overlooking pratap vilas palace,1
gldc official booked in disproportionate assets case rs crore not accounted for,1
got offers from ruling parties but not met anyone in last months eknath khadse,1
maharashtra amid cash crunch govt issues rs crore guarantees to sugar mills,1
after labour strike and lockout pepsico to close production unit in kerala,1
day after year old dies kin say beaten to death over suspicion of theft,1
laxmi vilas hotel case rajasthan hc stays arrest warrant against arun shourie,1
seated atop tractor navjot singh sidhu leads protest march against agri bills,1
in poll run up echoes of bihar in lok sabha,1
session of rancour ends prematurely battle over farm bills set to continue,1
monsoon session oppn boycott on rajya sabha passes bills in less than hours,1
punjab cabinet nod for reformation of vigilance commission years after it was scrapped,1
rajya sabha passes fcra amendment bill,1
need to assess if local lockdowns are effective in containing covid pm modi to states,1
water quality of ganga four other major rivers deteriorated during lockdown cpcb report,1
i am innocent subjected to witch hunt rhea chakraborty in bail plea,1
mehbooba mufti s daughter moves sc seeking to amend plea against continued detention of her mother,1
patiala badal village pakka morchas lifted to let union footsoldiers focus on sept bandh,1
interview haryana bku chief dushyant chautala should snap ties with ally bjp,1
punjab mandi unrest includes labourers govt playing with lives of lakhs,1
ideologies set aside punjab farmers groups come together to protest against agri bills a first,1
farmers anger against bills based on misunderstanding dushyant chautala,1
amendment bill passed in gujarat assembly sexual offenders cyber criminals to face pasa,1
opposition parties boycott lok sabha in solidarity with suspended rs mps,1
surat dhanvantri rath drivers end strike after assurance on payment,1
onion potato cereals off essential commodities list amendment bill passed,1
four labour bills passed in gujarat assembly easier for small firms to lay off workers,1
mathura boy tries to enter girl s house at midnight beaten to death,1
uddhav thackeray govt declares sops for maratha youth,1
bjp as mediator aiadmk and sasikala hold talks for merger,1
sheena bora murder case approver shyamvar rai s bail rejected again,1
ladakh political religious leaders call for boycott of elections to lahdc leh,1
kerala over cops test positive for covid cm blames opposition protests,1
karnataka bjp strongly refutes reports about changing bs yediyurappa as cm,1
parliament session day oppn boycotts lok sabha rajya sabha passes key bills in three hours,1
illegal mining case himachal hc summons mandi mining officer,1
pm modi visited countries since at expenditure of rs crore govt,1
sushil modi it s nda that gave reservation to sc sts in panchayat elections,1
ap launches new app that integrates services including lodging complaint online checking fake news,1
opposition to boycott rajya sabha till three demands met suspended mps end sit in protest,1
sad delegation meets president urges him not to sign farm bills,1
oppn mps suspended for unruly behaviour in rs,1
nia claims arrest of key let funds man on arrival from gulf,1
mahoba gangster arrested but not for businessman s murder,1
bid to assure msp up for six crops bjp tells mps to spread the word,1
flood impact kerala soil more prone to erosion says new study,1
chhattisgarh bhupesh baghel inaugurates airport in lwe affected jagdalpur,1
maharashtra days after delivering stillborn baby doctor dies of covid,1
akali dal s stand not in interest of farmers fadnavis,1
onion prices touch new high as traders rule out immediate imports,1
muting of democratic india continues congress on rajya sabha mps suspension,1
indian citizenship granted to pakistanis afghans bangladeshis in last years,1
coronavirus india updates sept recovery rate crosses mark schools reopen with few students in j k,1
farm bills needed for st century india says pm modi amid protests,1
tablighi jamaat event caused coronavirus to spread to many persons mha,1
maharashtra covid cases cross mark across state jails,1
more persons involved in al qaeda conspiracy nia,1
to encourage use of marathi govt sets up committee to submit draft rules to amend law,1
us court lifts stay on devas plea for compensation for cancelling deal,1
don t sign farm bills sukhbir badal urges president,1
two jjp mlas join haryana farmer protests one says ready to resign if people ask me to,1
rajya sabha ruckus rajnath terms oppn conduct shameful congress calls it anti farmer day,1
no restrictions on movement of individuals in j k govt,1
farmers intensify protests water cannons used to stop congress activists from entering haryana,1
rs passes amendments to insolvency code govt says priority is to keep companies growing rather than to liquidate,1
epidemic diseases amendment bill passed govt formulating national public health law says minister,1
ysrcp mp calls party govt in andhra anti hindu faces disqualification,1
anurag thakur now says pmnrf was gandhi family s jaagir,1
mahua moitra takes on pm cares corpus from psu donations,1
parliament session day ls clears taxation bill fierce debate on pm cares fund and more,1
govt proposes allowing cos with not less than workers to fire staff without its nod,1
union minister s jaishankar s mother passes away,1
lok sabha passes taxation bill,1
centre approves new medical college in godhra,1
start recruiting for vacant posts in months up cm,1
contentious bills slated for rajya sabha centre talks to non congress opposition parties,1
protesting against farm bills debt hit farmer dies by suicide at badal village,1
bills anti farmer will help rich mayawati akhilesh,1
bsy says awaiting bjp nod to go ahead with cabinet expansion,1
glacier retreat in himalayas to cause water crisis study,1
rajasthan congress leader who tested covid positive held for violating quarantine,1
do not block movement supply of oxygen mha tells states,1
elvis gomes quits as aap goa convenor says will work at grassroots level,1
uttar pradesh police adds sedition to case against aap mp sanjay singh,1
burger singh to open outlets in gujarat,1
naga peace talks nscn im to reiterate demand for separate flag constitution,1
liquor mafia operating in punjab under political patronage centre should probe says dullo,1
punjab and haryana farmers opposing new agriculture bills face hate on social media,1
pm modi inaugurates kosi rail mahasetu slew of rail projects for bihar slams slow progress under upa,1
parliament highlights sitharaman takes dig at cong says launching mgnrega is one thing using it effectively is another,1
on last day in office goa lokayukta starts proceedings against bjp mla,1
punjab and haryana hc stays appointment of chairperson of ubs by pu,1
covid india s mortality rate lowest govt aims to bring it down to below per cent says health minister,1
agriculture minister targets oppn says upa in its years didn t approve swaminathan recommendations,1
odisha seeks rs crore central aid for flood damage,1
in first jharkhand gets social audit team to boost nrega work demand,1
bihar elections jdu looks to contest seats wants bjp to fight accommodate ljp,1
deeply concerned by onion export ban bangladesh to india,1
pdp leader naeem akhtar released from house detention,1
indian cities drop in global smart city index singapore on top,1
odisha enraged over being tortured two minor sons kill mother,1
parliament highlights lok sabha passes two contentious farm bills by voice vote,1
decide cases against legislators within a year amicus report to sc,1
govt talking to china why no dialogue with kashmir asks pdp youth wing,1
sc orders fresh probe into death of nlu jodhpur student,1
protests in sopore over custody death parties seek action,1
sc stay on maratha quota govt will take a decision in a day or two says cm,1
high drama at mla hostel teacher threatens to die by suicide in jalna,1
slain kerala soldier was days away from leave,1
state rivalries play out in lok sabha raise heat of covid hit session,1
lok sabha passes bill to bring cooperative banks under rbi supervision,1
wider consultations required for uniform civil code govt,1
gujarat mp abhay bharadwaj put on artificial lung support paatil recovers from covid,1
police launch search for remains of uttarakhand flood victims,1
india s ties with china other neighbouring countries not deteriorated mos mea,1
